platformBlocks
0, 750
150, 750
300, 750
450, 750
600, 750
900, 750
1050, 750
750, 750
1200, 600
1350, 600
1500, 600
1650, 600
1800, 600
1950, 600
2100, 600
2250, 600
2400, 600
2550, 600
2700, 600
2850, 600
3000, 600
3150, 600
0, 450
150, 450
300, 450
450, 450
600, 450
750, 450
900, 450
1050, 450
1200, 450
actionIndicators
player1checkpoints
player2checkpoints
player1
0, 240
player2
0.00005531313582, 690
enemies
270, 430
2196, 264
2346, 264
2496, 264
1449, 416
1449, -34
killFloors
goalBlocks
breakableWalls
ziplines
placers
