platformBlocks
75, 675, 12, <null>, <null>,
225, 675, 12, <null>, <null>,
375, 675, 12, <null>, <null>,
525, 675, 12, <null>, <null>,
675, 675, 12, <null>, <null>,
825, 675, 12, <null>, <null>,
975, 675, 12, <null>, <null>,
1125, 675, 12, <null>, <null>,
1275, 675, 12, <null>, <null>,
1425, 675, 12, <null>, <null>,
1575, 675, 12, <null>, <null>,
1725, 675, 12, <null>, <null>,
1875, 675, 12, <null>, <null>,
2025, 675, 12, <null>, <null>,
2625, 675, 12, <null>, <null>,
2775, 675, 12, <null>, <null>,
2475, 675, 12, <null>, <null>,
2175, 675, 12, <null>, <null>,
2925, 675, 12, <null>, <null>,
2325, 675, 12, <null>, <null>,
3225, 675, 12, <null>, <null>,
3375, 675, 12, <null>, <null>,
3525, 725, 12, <null>, <null>,
3675, 725, 12, <null>, <null>,
3825, 725, 12, <null>, <null>,
3975, 725, 12, <null>, <null>,
4125, 725, 12, <null>, <null>,
4425, 725, 12, <null>, <null>,
4575, 725, 12, <null>, <null>,
4625, 725, 12, <null>, <null>,
25, 675, 12, <null>, <null>,
4775, 675, 12, <null>, <null>,
4925, 675, 12, <null>, <null>,
5075, 625, 12, <null>, <null>,
5475, 625, 12, <null>, <null>,
5200, 625, 12, <null>, <null>,
5625, 625, 12, <null>, <null>,
5775, 625, 12, <null>, <null>,
5925, 625, 12, <null>, <null>,
6075, 625, 12, <null>, <null>,
6225, 625, 12, <null>, <null>,
6375, 625, 12, <null>, <null>,
6525, 625, 12, <null>, <null>,
6825, 625, 12, <null>, <null>,
6975, 625, 12, <null>, <null>,
7125, 625, 12, <null>, <null>,
7275, 625, 12, <null>, <null>,
7425, 625, 12, <null>, <null>,
7575, 625, 12, <null>, <null>,
7725, 625, 12, <null>, <null>,
7875, 675, 12, <null>, <null>,
8025, 675, 12, <null>, <null>,
8175, 675, 12, <null>, <null>,
8325, 675, 12, <null>, <null>,
8475, 675, 12, <null>, <null>,
8625, 675, 12, <null>, <null>,
8775, 675, 12, <null>, <null>,
8925, 675, 12, <null>, <null>,
9125, 625, 12, <null>, <null>,
9225, 625, 12, <null>, <null>,
9375, 625, 12, <null>, <null>,
9525, 625, 12, <null>, <null>,
9675, 625, 12, <null>, <null>,
9975, 625, 12, <null>, <null>,
9825, 625, 12, <null>, <null>,
10125, 625, 12, <null>, <null>,
10275, 675, 12, <null>, <null>,
10575, 675, 12, <null>, <null>,
10425, 675, 12, <null>, <null>,
10725, 675, 12, <null>, <null>,
10875, 675, 12, <null>, <null>,
11025, 675, 12, <null>, <null>,
11175, 675, 12, <null>, <null>,
11325, 675, 12, <null>, <null>,
11625, 675, 12, <null>, <null>,
11775, 675, 12, <null>, <null>,
11925, 675, 12, <null>, <null>,
12075, 675, 12, <null>, <null>,
12225, 675, 12, <null>, <null>,
12375, 675, 12, <null>, <null>,
12400, 675, 12, <null>, <null>,
12825, 675, 12, <null>, <null>,
12975, 675, 12, <null>, <null>,
13125, 675, 12, <null>, <null>,
13275, 675, 12, <null>, <null>,
13425, 675, 12, <null>, <null>,
13625, 625, 12, <null>, <null>,
13725, 625, 12, <null>, <null>,
13925, 575, 12, <null>, <null>,
14025, 575, 12, <null>, <null>,
14175, 575, 12, <null>, <null>,
14375, 525, 12, <null>, <null>,
14475, 525, 12, <null>, <null>,
14625, 525, 12, <null>, <null>,
14775, 525, 12, <null>, <null>,
15225, 550, 12, <null>, <null>,
15075, 550, 12, <null>, <null>,
15375, 550, 12, <null>, <null>,
15525, 550, 12, <null>, <null>,
-125, 675, 12, <null>, <null>,
16575, 550, 12, <null>, <null>,
16425, 550, 12, <null>, <null>,
16725, 550, 12, <null>, <null>,
17025, 550, 12, <null>, <null>,
16875, 550, 12, <null>, <null>,
17175, 550, 12, <null>, <null>,
17625, 550, 12, <null>, <null>,
17475, 550, 12, <null>, <null>,
17775, 550, 12, <null>, <null>,
18075, 550, 12, <null>, <null>,
17925, 550, 12, <null>, <null>,
18375, 550, 12, <null>, <null>,
18675, 550, 12, <null>, <null>,
18975, 550, 12, <null>, <null>,
18825, 550, 12, <null>, <null>,
19275, 550, 12, <null>, <null>,
19425, 550, 12, <null>, <null>,
19575, 550, 12, <null>, <null>,
19600, 550, 12, <null>, <null>,
20025, 550, 12, <null>, <null>,
20175, 550, 12, <null>, <null>,
20200, 550, 12, <null>, <null>,
20575, 550, 12, <null>, <null>,
20475, 550, 12, <null>, <null>,
20850, 550, 12, <null>, <null>,
15675, 550, 12, <null>, <null>,
19875, 550, 12, <null>, <null>,
20925, 550, 12, <null>, <null>,
6675, 625, 12, <null>, <null>,
15825, 550, 12, <null>, <null>,
16125, 550, 12, <null>, <null>,
22275, 550, 12, <null>, <null>,
22425, 550, 12, <null>, <null>,
22575, 550, 12, <null>, <null>,
22725, 550, 12, <null>, <null>,
2950, 675, 12, <null>, <null>,
4150, 725, 12, <null>, <null>,
8975, 675, 12, <null>, <null>,
11350, 675, 12, <null>, <null>,
12675, 675, 12, <null>, <null>,
13475, 675, 12, <null>, <null>,
13775, 625, 12, <null>, <null>,
14225, 575, 12, <null>, <null>,
14800, 525, 12, <null>, <null>,
15850, 550, 12, <null>, <null>,
16150, 550, 12, <null>, <null>,
17200, 550, 12, <null>, <null>,
18100, 550, 12, <null>, <null>,
18400, 550, 12, <null>, <null>,
19000, 550, 12, <null>, <null>,
22875, 550, 12, <null>, <null>,
23325, 550, 14, 89.5, 23338,
23775, 550, 12, <null>, <null>,
23925, 550, 12, <null>, <null>,
24075, 550, 12, <null>, <null>,
24225, 550, 12, <null>, <null>,
24375, 550, 12, <null>, <null>,
24525, 550, 14, 89.5, 24538,
24825, 550, 12, <null>, <null>,
24975, 550, 12, <null>, <null>,
25125, 550, 12, <null>, <null>,
25275, 550, 12, <null>, <null>,
25425, 550, 12, <null>, <null>,
25575, 550, 12, <null>, <null>,
25725, 550, 12, <null>, <null>,
23625, 550, 12, <null>, <null>,
23025, 550, 12, <null>, <null>,
23175, 550, 12, <null>, <null>,
25875, 550, 12, <null>, <null>,
26025, 550, 12, <null>, <null>,
26175, 550, 14, 89.5, 26188,
26475, 550, 12, <null>, <null>,
26625, 550, 12, <null>, <null>,
26775, 550, 14, 89.5, 26788,
27075, 550, 12, <null>, <null>,
27225, 550, 12, <null>, <null>,
27375, 550, 14, 89.5, 27388,
27675, 550, 12, <null>, <null>,
27750, 550, 12, <null>, <null>,
27975, 600, 12, <null>, <null>,
28125, 600, 12, <null>, <null>,
28275, 600, 12, <null>, <null>,
28425, 600, 12, <null>, <null>,
28575, 600, 16, 102.5, 28601,
28775, 550, 12, <null>, <null>,
28875, 550, 12, <null>, <null>,
29000, 550, 12, <null>, <null>,
29150, 500, 12, <null>, <null>,
29300, 500, 14, 89.5, 29313,
29475, 500, 12, <null>, <null>,
29625, 500, 12, <null>, <null>,
29775, 500, 12, <null>, <null>,
29925, 500, 12, <null>, <null>,
27900, 600, 12, <null>, <null>,
31425, 500, 12, <null>, <null>,
31575, 500, 12, <null>, <null>,
31725, 500, 12, <null>, <null>,
31875, 500, 12, <null>, <null>,
32025, 550, 12, <null>, <null>,
32375, 500, 12, <null>, <null>,
31125, 500, 14, 89.5, 31138,
30975, 500, 12, <null>, <null>,
30675, 500, 12, <null>, <null>,
32475, 500, 12, <null>, <null>,
32500, 500, 12, <null>, <null>,
32775, 500, 12, <null>, <null>,
32925, 500, 12, <null>, <null>,
33075, 500, 12, <null>, <null>,
33225, 500, 12, <null>, <null>,
33375, 500, 12, <null>, <null>,
33525, 500, 12, <null>, <null>,
33550, 500, 12, <null>, <null>,
33825, 500, 12, <null>, <null>,
33850, 500, 12, <null>, <null>,
34125, 500, 12, <null>, <null>,
34275, 500, 12, <null>, <null>,
34425, 500, 12, <null>, <null>,
34575, 500, 12, <null>, <null>,
34725, 500, 12, <null>, <null>,
34875, 500, 12, <null>, <null>,
35025, 500, 12, <null>, <null>,
35175, 500, 12, <null>, <null>,
35325, 500, 12, <null>, <null>,
30825, 500, 12, <null>, <null>,
32175, 550, 12, <null>, <null>,
32225, 550, 12, <null>, <null>,
35475, 500, 12, <null>, <null>,
35625, 500, 12, <null>, <null>,
35775, 500, 12, <null>, <null>,
35925, 500, 12, <null>, <null>,
36075, 500, 12, <null>, <null>,
36225, 500, 12, <null>, <null>,
36375, 500, 12, <null>, <null>,
36525, 500, 12, <null>, <null>,
36675, 500, 12, <null>, <null>,
36825, 500, 12, <null>, <null>,
36975, 500, 12, <null>, <null>,
37125, 500, 12, <null>, <null>,
37275, 500, 12, <null>, <null>,
37425, 500, 12, <null>, <null>,
37575, 500, 12, <null>, <null>,
37875, 500, 12, <null>, <null>,
37725, 500, 12, <null>, <null>,
38025, 500, 12, <null>, <null>,
38175, 500, 12, <null>, <null>,
