platformBlocks
-75, 575, 12, <null>, <null>,
75, 575, 12, <null>, <null>,
225, 575, 12, <null>, <null>,
375, 575, 12, <null>, <null>,
525, 575, 12, <null>, <null>,
675, 575, 12, <null>, <null>,
825, 575, 12, <null>, <null>,
975, 575, 12, <null>, <null>,
1125, 575, 12, <null>, <null>,
1275, 575, 12, <null>, <null>,
1425, 575, 12, <null>, <null>,
1575, 575, 12, <null>, <null>,
1725, 575, 12, <null>, <null>,
1875, 575, 12, <null>, <null>,
2025, 575, 12, <null>, <null>,
2175, 575, 12, <null>, <null>,
2325, 575, 12, <null>, <null>,
2475, 575, 12, <null>, <null>,
2625, 575, 12, <null>, <null>,
2775, 575, 12, <null>, <null>,
2925, 575, 12, <null>, <null>,
3075, 575, 12, <null>, <null>,
3375, 575, 12, <null>, <null>,
3525, 575, 12, <null>, <null>,
3675, 575, 12, <null>, <null>,
3825, 575, 12, <null>, <null>,
3975, 575, 12, <null>, <null>,
4125, 575, 12, <null>, <null>,
4275, 575, 12, <null>, <null>,
4425, 575, 12, <null>, <null>,
4575, 575, 12, <null>, <null>,
4725, 575, 12, <null>, <null>,
5475, 575, 12, <null>, <null>,
5625, 575, 12, <null>, <null>,
5775, 575, 12, <null>, <null>,
5925, 575, 14, 89.5, 5938,
6225, 575, 14, 89.5, 6238,
6525, 575, 14, 89.5, 6538,
6825, 575, 14, 89.5, 6838,
7125, 575, 12, <null>, <null>,
8475, 575, 12, <null>, <null>,
8625, 575, 12, <null>, <null>,
8775, 575, 12, <null>, <null>,
8925, 575, 12, <null>, <null>,
9075, 575, 12, <null>, <null>,
9225, 575, 12, <null>, <null>,
9375, 575, 12, <null>, <null>,
9450, 575, 12, <null>, <null>,
9725, 575, 12, <null>, <null>,
9750, 575, 12, <null>, <null>,
10025, 575, 12, <null>, <null>,
10350, 575, 12, <null>, <null>,
10325, 575, 12, <null>, <null>,
10050, 575, 12, <null>, <null>,
10625, 575, 12, <null>, <null>,
10625, 575, 12, <null>, <null>,
10725, 575, 12, <null>, <null>,
3225, 575, 12, <null>, <null>,
12075, 575, 12, <null>, <null>,
12225, 575, 12, <null>, <null>,
12375, 575, 12, <null>, <null>,
12525, 575, 12, <null>, <null>,
12675, 575, 12, <null>, <null>,
12825, 575, 12, <null>, <null>,
12975, 575, 12, <null>, <null>,
13125, 575, 12, <null>, <null>,
13275, 575, 12, <null>, <null>,
13425, 575, 12, <null>, <null>,
13575, 575, 12, <null>, <null>,
13725, 575, 12, <null>, <null>,
13875, 575, 12, <null>, <null>,
14025, 575, 12, <null>, <null>,
14175, 575, 12, <null>, <null>,
14325, 575, 12, <null>, <null>,
14925, 575, 12, <null>, <null>,
15075, 575, 12, <null>, <null>,
15225, 575, 12, <null>, <null>,
15375, 575, 12, <null>, <null>,
15525, 575, 12, <null>, <null>,
15975, 50, 12, <null>, <null>,
16125, 50, 12, <null>, <null>,
16275, 50, 12, <null>, <null>,
16425, 50, 12, <null>, <null>,
16575, 50, 12, <null>, <null>,
16725, 50, 12, <null>, <null>,
16875, 50, 12, <null>, <null>,
17025, 50, 12, <null>, <null>,
17175, 50, 12, <null>, <null>,
17325, 50, 12, <null>, <null>,
17475, 50, 12, <null>, <null>,
17625, 50, 12, <null>, <null>,
17775, 50, 12, <null>, <null>,
17925, 50, 12, <null>, <null>,
18075, 50, 12, <null>, <null>,
18225, 50, 12, <null>, <null>,
18375, 50, 12, <null>, <null>,
18525, 50, 12, <null>, <null>,
18675, 50, 12, <null>, <null>,
18825, 50, 12, <null>, <null>,
18975, 50, 12, <null>, <null>,
19125, 50, 12, <null>, <null>,
19275, 50, 12, <null>, <null>,
19425, 50, 12, <null>, <null>,
19575, 50, 12, <null>, <null>,
19725, 50, 12, <null>, <null>,
20475, 50, 12, <null>, <null>,
20625, 50, 12, <null>, <null>,
20775, 50, 12, <null>, <null>,
20925, 50, 12, <null>, <null>,
21075, 50, 12, <null>, <null>,
21225, 50, 12, <null>, <null>,
21375, 50, 12, <null>, <null>,
21525, 50, 12, <null>, <null>,
21675, 50, 12, <null>, <null>,
21825, 50, 12, <null>, <null>,
21975, 50, 12, <null>, <null>,
22125, 50, 12, <null>, <null>,
22275, 50, 12, <null>, <null>,
22425, 50, 12, <null>, <null>,
22725, 50, 12, <null>, <null>,
22581, 50, 12, <null>, <null>,
4875, 575, 12, <null>, <null>,
5025, 575, 12, <null>, <null>,
5175, 575, 12, <null>, <null>,
5325, 575, 12, <null>, <null>,
7275, 575, 12, <null>, <null>,
7425, 575, 12, <null>, <null>,
8175, 575, 12, <null>, <null>,
8325, 575, 12, <null>, <null>,
7575, 575, 12, <null>, <null>,
7725, 575, 12, <null>, <null>,
7875, 575, 12, <null>, <null>,
8025, 575, 12, <null>, <null>,
10875, 575, 12, <null>, <null>,
11025, 575, 12, <null>, <null>,
11175, 575, 12, <null>, <null>,
